cohort	tree	framework	strategy	task	encoder	model	surv_loss	experiment_id	n_folds	n_fold_dirs	seed	elapsed_s	primary_metric	test_mean	test_std	test_ci_low	test_ci_high	val_mean	val_std	per_fold_test	per_fold_val	mtime	path
tcga_luad	benchmark_5fold	clam	standard	kras	virchow2	mil		clam__standard__kras__virchow2__mil__s42	5	5	42	25325.909605201334	auc_roc	0.5374260469822061	0.07894401929471634	0.47219838022877186	0.5985044865403788	0.543921568627451	0.1320919721995602	[0.4423645320197044, 0.6036889332003987, 0.46311066799601197, 0.6071784646061814, 0.5707876370887339]	[0.39803921568627454, 0.4607843137254902, 0.6215686274509803, 0.7294117647058823, 0.5098039215686275]	1783802809	clam/standard/kras/virchow2/mil
tcga_luad	benchmark_5fold	clam	standard	os	hoptimus1	clam_mb	nllsurv	clam__standard__os__hoptimus1__clam_mb__s42__nllsurv	5	5	42	0	c_index	0.5885733557155706	0.08697718288131967	0.5155183077356511	0.645483000735906	0.5521140869898549	0.07995989419227877	[0.6639102185469581, 0.646457765667575, 0.6066790352504638, 0.4441489361702128, 0.5816708229426434]	[0.6359550561797753, 0.5043668122270742, 0.46882217090069284, 0.5116279069767442, 0.6397984886649875]	1784710521	clam/standard/os/hoptimus1/clam_mb/nllsurv
tcga_luad	benchmark_5fold	clam	standard	os	uni_v2	clam_mb	nllsurv	clam__standard__os__uni_v2__clam_mb__s42__nllsurv	5	5	42	0	c_index	0.5954201940053299	0.09064464481132704	0.5201878780849044	0.65534975545302	0.5805058268845793	0.06113939679036062	[0.6881275841701122, 0.6335149863760218, 0.5788497217068646, 0.4488031914893617, 0.6278054862842892]	[0.6337078651685393, 0.5414847161572053, 0.5080831408775982, 0.5668604651162791, 0.6523929471032746]	1784710837	clam/standard/os/uni_v2/clam_mb/nllsurv
tcga_luad	benchmark_5fold	clam	standard	os	virchow2	clam_mb	nllsurv	clam__standard__os__virchow2__clam_mb__s42__nllsurv	5	5	42	0	c_index	0.6087511344677848	0.0861330648485831	0.5370233765412411	0.6676143586986935	0.6015040297344908	0.057209433824583523	[0.6887182516243355, 0.6396457765667575, 0.660482374768089, 0.47074468085106386, 0.5841645885286783]	[0.7033707865168539, 0.5807860262008734, 0.5796766743648961, 0.5668604651162791, 0.5768261964735516]	1784711650	clam/standard/os/virchow2/clam_mb/nllsurv
tcga_luad	benchmark_5fold	dtfd	standard	egfr	hoptimus1	dtfd_mil		dtfd__standard__egfr__hoptimus1__dtfd_mil__s42	5	5	42	1683	auc_roc	0.8321155130499827	0.08304355144529879	0.7700141586300859	0.8943132530120481	0.9038095238095238	0.07762050831228563	[0.7554216867469881, 0.846987951807229, 0.9457831325301205, 0.8662650602409638, 0.746119733924612]	[0.9571428571428572, 0.8476190476190477, 0.9666666666666668, 0.7952380952380952, 0.9523809523809524]	1783786453	dtfd/standard/egfr/hoptimus1/dtfd_mil
tcga_luad	benchmark_5fold	dtfd	standard	egfr	uni_v2	dtfd_mil		dtfd__standard__egfr__uni_v2__dtfd_mil__s42	5	5	42	1712	auc_roc	0.7473031816846099	0.09385299469310926	0.6885822669836775	0.8320481927710842	0.879047619047619	0.06385215349280665	[0.7144578313253013, 0.7506024096385542, 0.9072289156626506, 0.6879518072289157, 0.6762749445676275]	[0.9142857142857144, 0.8523809523809524, 0.8095238095238094, 0.8476190476190475, 0.9714285714285714]	1783786847	dtfd/standard/egfr/uni_v2/dtfd_mil
tcga_luad	benchmark_5fold	dtfd	standard	egfr	virchow2	dtfd_mil		dtfd__standard__egfr__virchow2__dtfd_mil__s42	5	5	42	1829	auc_roc	0.7870248176742447	0.08489116019669915	0.7232062618545134	0.8587951807228915	0.8790476190476191	0.08855094489202155	[0.7843373493975905, 0.8265060240963855, 0.908433734939759, 0.7096385542168675, 0.7062084257206209]	[0.9476190476190476, 0.8571428571428572, 0.9238095238095239, 0.7333333333333334, 0.9333333333333333]	1783787268	dtfd/standard/egfr/virchow2/dtfd_mil
tcga_luad	benchmark_5fold	dtfd	standard	kras	hoptimus1	dtfd_mil		dtfd__standard__kras__hoptimus1__dtfd_mil__s42	5	5	42	2062	auc_roc	0.7013778369325521	0.06378899503206288	0.6528872495813053	0.7518264909704383	0.7294117647058822	0.09989421548224278	[0.6325123152709359, 0.7258225324027917, 0.6395812562313061, 0.7273180458624127, 0.781655034895314]	[0.7176470588235294, 0.5666666666666668, 0.7450980392156863, 0.8235294117647058, 0.7941176470588235]	1783786980	dtfd/standard/kras/hoptimus1/dtfd_mil
tcga_luad	benchmark_5fold	dtfd	standard	kras	uni_v2	dtfd_mil		dtfd__standard__kras__uni_v2__dtfd_mil__s42	5	5	42	2237	auc_roc	0.6409907224140385	0.08111124459797722	0.577794007141138	0.7076769690927218	0.6815686274509803	0.06920763159265843	[0.535960591133005, 0.6909272183449651, 0.6251246261216351, 0.6056829511465602, 0.7472582253240279]	[0.6529411764705882, 0.5843137254901961, 0.676470588235294, 0.7588235294117648, 0.7352941176470589]	1783786958	dtfd/standard/kras/uni_v2/dtfd_mil
tcga_luad	benchmark_5fold	dtfd	standard	kras	virchow2	dtfd_mil		dtfd__standard__kras__virchow2__dtfd_mil__s42	5	5	42	3265	auc_roc	0.6291618739839595	0.047563986885016285	0.5899781443845802	0.6665335250406416	0.6772549019607844	0.07474935691424144	[0.6044334975369458, 0.6640079760717846, 0.5682951146560319, 0.621136590229312, 0.6879361914257229]	[0.6588235294117647, 0.5588235294117647, 0.7039215686274509, 0.7568627450980392, 0.707843137254902]	1783788687	dtfd/standard/kras/virchow2/dtfd_mil
